Delivery Date;hEXA01;hEXA02;hEXA03;hEXA04;hEXA05;hEXA06;hEXA07;hEXA08;hEXA09;hEXA10;hEXA11;hEXA12;hEXA13;hEXA14;hEXA15;hEXA16;hEXA17;hEXA18;hEXA19;hEXA20;hEXA21;hEXA22;hEXA23;hEXA24;bEXAbase (01-24);bEXApeak (09-20)
Wed. 1 Jan 2003;6.00;3.00;3.00;1.50;1.50;1.15;1.10;1.10;3.00;3.00;7.10;8.96;9.30;7.03;6.61;5.75;7.10;11.32;13.63;12.03;9.49;7.98;10.10;6.70;6.14;7.90
Thu. 2 Jan 2003;7.10;5.02;4.08;3.79;4.08;4.89;5.77;7.67;12.10;13.20;15.00;16.50;15.00;14.60;13.20;13.60;16.50;24.50;21.60;20.00;17.70;15.06;18.00;12.51;12.56;16.32
Fri. 3 Jan 2003;8.50;6.10;5.00;4.85;4.70;7.01;10.50;15.94;18.10;19.99;22.25;25.83;25.20;25.20;23.54;21.00;22.62;27.31;28.32;25.20;25.00;18.82;23.00;17.09;17.96;23.71
Sat. 4 Jan 2003;9.91;7.97;5.62;4.14;4.96;6.34;6.31;13.87;18.79;21.10;21.98;23.82;22.83;21.48;18.10;18.10;19.33;24.72;24.18;21.00;17.00;15.20;20.20;14.39;15.89;21.29
Sun. 5 Jan 2003;8.00;6.24;6.25;4.76;4.58;4.61;2.49;3.00;6.10;9.10;13.10;18.10;15.10;11.90;9.60;9.00;11.20;17.97;20.00;18.13;16.10;14.10;17.31;13.00;10.82;13.28
Mon. 6 Jan 2003;9.35;6.97;6.51;6.51;6.63;9.39;11.57;17.64;24.28;26.91;28.00;30.00;27.12;28.51;27.00;26.00;29.20;34.20;34.20;29.10;24.63;19.83;22.00;16.77;20.93;28.71
Tue. 7 Jan 2003;15.00;12.50;9.87;11.00;13.10;14.10;18.79;28.10;30.61;32.10;32.49;36.10;32.10;34.99;33.35;32.10;34.98;38.49;38.49;30.40;24.99;26.10;26.10;22.10;26.16;33.85
Wed. 8 Jan 2003;28.61;22.56;22.50;21.08;21.00;25.49;29.94;83.60;122.20;99.00;99.00;120.00;120.00;112.43;78.66;78.66;95.76;136.36;152.20;90.00;50.00;44.90;45.00;32.64;72.15;108.69
Thu. 9 Jan 2003;30.00;27.00;24.50;23.00;23.00;25.65;28.01;49.92;58.00;58.00;60.90;64.52;60.59;59.10;55.15;55.10;52.10;81.00;75.10;59.30;42.20;38.70;39.10;30.39;46.68;61.57
Fri. 10 Jan 2003;35.00;30.50;24.63;22.53;22.50;25.66;28.66;45.26;45.10;45.10;48.23;47.88;47.10;45.10;42.00;42.00;42.00;80.00;65.27;43.99;39.00;35.00;34.70;33.00;40.43;49.48
